Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Data,Temp,Clamp,Batch,Accum,Stress
34,0.00334572,0.00351234,0.00002597,0.0000,0.0000,24.5700,0.8142,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
35,0.00334272,0.00350829,0.00002332,0.0000,0.0000,24.5800,0.8142,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
36,0.00334031,0.00349513,0.00002072,0.0000,0.0000,24.6000,0.8145,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
37,0.00333690,0.00349749,0.00001820,0.0000,0.0000,24.5900,0.8148,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
38,0.00333344,0.00349188,0.00001578,0.0000,0.0000,24.6000,0.8149,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
39,0.00333141,0.00349665,0.00001347,0.0000,0.0000,24.5900,0.8150,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
40,0.00332961,0.00348943,0.00001129,0.0000,0.0000,24.6000,0.8152,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
41,0.00332516,0.00349335,0.00000926,0.0000,0.0000,24.6000,0.8153,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
42,0.00332514,0.00349021,0.00000740,0.0000,0.0000,24.6000,0.8152,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
43,0.00332441,0.00349435,0.00000573,0.0000,0.0000,24.6000,0.8153,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
44,0.00332362,0.00348775,0.00000424,0.0000,0.0000,24.6000,0.8154,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
45,0.00332270,0.00348776,0.00000297,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
46,0.00332160,0.00348770,0.00000191,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
47,0.00332128,0.00348753,0.00000108,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
48,0.00332076,0.00348798,0.00000048,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
49,0.00332059,0.00348793,0.00000012,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
50,0.00332048,0.00348794,0.00000000,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
51,0.00449305,0.00471967,0.00000025,0.0000,0.0000,24.6628,0.8157,0.0564,9.8352,0.0000,0.0000,0.10,0.10,19.95,16,1,0.000000
52,0.00565789,0.00597176,0.00000050,0.0000,0.0000,24.4221,0.8156,0.0634,9.5435,0.0000,0.0000,0.10,0.10,20.01,15,1,0.000000
53,0.00682049,0.00716359,0.00000074,0.0000,0.0000,24.3733,0.8136,0.0697,9.3963,0.0000,0.0000,0.10,0.10,20.03,15,1,0.000000
54,0.00797402,0.00841683,0.00000099,0.0000,0.0000,24.4254,0.8085,0.0769,9.1659,0.0000,0.0000,0.11,0.10,19.94,14,1,0.000000
55,0.00915443,0.00971626,0.00000124,0.0000,0.0000,24.2926,0.8088,0.0832,9.0143,0.0000,0.0000,0.11,0.10,20.01,14,1,0.000000
56,0.01032653,0.01087597,0.00000149,0.0000,0.0000,24.1907,0.8138,0.0899,8.7558,0.0000,0.0000,0.11,0.10,20.06,14,1,0.000000
57,0.01149297,0.01215395,0.00000173,0.0000,0.0000,24.1473,0.8111,0.0963,8.6036,0.0000,0.0000,0.11,0.10,19.93,13,1,0.000000
58,0.01260744,0.01336042,0.00000199,0.0000,0.0000,24.2695,0.8072,0.1029,8.3234,0.0000,0.0000,0.11,0.10,20.03,13,1,0.000000
59,0.01378075,0.01459419,0.00000223,0.0000,0.0000,24.0987,0.8051,0.1104,8.1546,0.0000,0.0000,0.11,0.10,20.05,13,1,0.000000
60,0.01496991,0.01584552,0.00000248,0.0000,0.0000,24.1693,0.8100,0.1163,7.9177,0.0000,0.0000,0.12,0.10,20.10,12,1,0.000000
61,0.01604755,0.01716139,0.00000273,0.0000,0.0000,24.1811,0.8047,0.1231,7.7353,0.0000,0.0000,0.12,0.10,19.99,12,1,0.000000
62,0.01716206,0.01840862,0.00000298,0.0000,0.0000,24.0922,0.8065,0.1298,7.5538,0.0000,0.0000,0.12,0.10,19.94,12,1,0.000000
63,0.01838128,0.01955734,0.00000321,0.0000,0.0000,24.0340,0.8076,0.1371,7.3698,0.0000,0.0000,0.12,0.10,20.03,11,1,0.000000
