Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Res,Data,Temp,Clamp,Batch,Acc,Stress
31,0.05202059,0.07875337,0.00002520,0.7487,0.7531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
32,0.05674478,0.07856776,0.00003593,0.7484,0.7505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
33,0.04934992,0.08158466,0.00003593,0.7461,0.7424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
34,0.04255356,0.08000530,0.00003592,0.7444,0.7457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
35,0.03753706,0.08011002,0.00003592,0.7480,0.7497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
36,0.03329461,0.08345189,0.00003591,0.7331,0.7367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
37,0.05179992,0.08010041,0.00003590,0.7502,0.7465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
38,0.04536361,0.07762310,0.00003590,0.7534,0.7522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
39,0.03969556,0.07936162,0.00003589,0.7505,0.7507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
40,0.03533964,0.08378500,0.00002511,0.7408,0.7446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
41,0.02945074,0.08014199,0.00002510,0.7489,0.7504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
42,0.03852104,0.07857327,0.00000144,0.7485,0.7460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
43,0.04289718,0.07898007,0.00003587,0.7503,0.7468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
44,0.03713658,0.07796838,0.00003586,0.7511,0.7539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
45,0.03270781,0.08004790,0.00003586,0.7481,0.7491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
46,0.02945583,0.08287810,0.00002509,0.7449,0.7420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
47,0.02503885,0.08097534,0.00002509,0.7479,0.7494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.40,1.0000,15.0,24,1,0.000000
48,0.02279361,0.08380972,0.00002508,0.7383,0.7368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
49,0.01496946,0.08040252,0.00003583,0.7471,0.7461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
50,0.03511148,0.08003728,0.00003582,0.7466,0.7487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
51,0.03090213,0.08073179,0.00003581,0.7495,0.7487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
52,0.02649108,0.07917067,0.00000401,0.7553,0.7533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
53,0.22026579,0.11075748,0.00003579,0.6307,0.7235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.55,1.0000,15.0,24,1,0.000000
